Nama,Karbohidrat,Protein,kalori,Lemak,Energi,lemak jenuh,kolestrol,serat,gula,sodium,kalium,berat
Tahu Isi,7.21g,8.54g,112 kkal,5.53g,468 kj,1.039g,1.977g,46mg,1g,1.4g,270mg,100 gram (g)
Tempe Rebus,9.35g,18.19g,196 kkal,11.38g,820 kj,3.4g,-,-,-,14mg,401mg,100 gram (g)
Jagung dengan Mentega,21.88g,3.06g,106 kkal,2.35g,444 kj,1.125g,4mg,-,-,20mg,246mg,100 gram (g)
Jagung,19.02g,3.22g,86 kkal,1.18g,360 kj,0.182g,0mg,2.7g,3.22g,15mg,270mg,100 gram (g)
Bubur Jagung,9.55g,1.06g,45 kkal,0.14g,188 kj,0.019g,0mg,0.2g,0.08g,131mg,16mg,100 gram (g)
Lumpia Ayam,11.12g,4.73g,101 kkal,4.07g,422 kj,0.867g,45mg,0.7g,0.57g,194mg,88mg,100 gram (g)
Sayur Lumpia,11.63g,3.1g,98 kkal,4.43g,409 kj,0.871g,36mg,1g,1.18g,324mg,117mg,100 gram (g)
Lumpia Udang,11.55g,4.09g,104 kkal,4.64g,436 kj,0.906g,51mg,0.9g,0.84g,378mg,113mg,100 gram (g)
Lumpia Babi,10.88g,5.94g,116 kkal,5.36g,485 kj,1.232g,44mg,0.8g,0.79g,321mg,149mg,100 gram (g)
Risoles,14.43g,10.54g,160 kkal,6.25g,668 kj,2.545g,2.584g,41mg,0.6g,1.06g,202mg,100 gram (g)
Risol Mayo,23.94g,9.32g,275 kkal,15.47g,1149 kj,4.229g,5.943g,112mg,0.7g,1.86g,329mg,100 gram (g)
Risol Bihun,14.46g,10.79g,156 kkal,5.82g,652 kj,1.272g,2.394g,144mg,0.9g,2.06g,203mg,100 gram (g)
Risol Ragout,21.38g,10.18g,250 kkal,13.65g,1045 kj,6.563g,4.472g,61mg,1.1g,1.74g,318mg,100 gram (g)
Biskuit Tawar atau Mentega,44.6g,7g,353 kkal,16.3g,1477 kj,4.324g,3mg,1.5g,2.18g,580mg,121mg,100 gram (g)
Biskuit Gandum,46.22g,9.67g,311 kkal,11.58g,1301 kj,2.662g,3mg,7.3g,2.59g,903mg,310mg,100 gram (g)
Biskuit Tawar atau dengan Mentega (Rendah Lemak),47.6g,6.7g,257 kkal,4.5g,1075 kj,1.113g,0mg,1.6g,7g,1248mg,159mg,100 gram (g)
Biskuit Tawar atau Mentega (Campuran Kering. Siap),48.4g,7.3g,335 kkal,12.1g,1402 kj,2.789g,4mg,1.8g,-,955mg,188mg,100 gram (g)
Tepung Tortilla,51.35g,8.29g,312 kkal,7.75g,1305 kj,1.886g,0mg,3.1g,1.92g,636mg,155mg,100 gram (g)
Tortilla Jagung,44.64g,5.7g,218 kkal,2.85g,912 kj,0.453g,0mg,6.3g,0.88g,45mg,186mg,100 gram (g)
Gandum Tortilla,55.82g,9.61g,263 kkal,1.3g,1100 kj,0.228g,0mg,7.1g,0.28g,486mg,239mg,100 gram (g)
Oatmeal,10.84g,2.59g,62 kkal,1.02g,259 kj,0.18g,0mg,1.6g,0.24g,119mg,54mg,100 gram (g)
Oatmeal Instan,18.22g,2.46g,91 kkal,1.2g,381 kj,0.215g,0mg,1.9g,6.58g,122mg,78mg,100 gram (g)
Oatmeal dengan Buah,16.16g,2.64g,81 kkal,0.98g,339 kj,0.172g,0mg,1.8g,4.76g,111mg,108mg,100 gram (g)
Oatmeal Multigrain,13.88g,2.14g,63 kkal,0.49g,264 kj,0.098g,0mg,2.3g,0.11g,71mg,74mg,100 gram (g)
Roti Gandum,47.14g,9.13g,259 kkal,4.11g,1084 kj,0.895g,0mg,4.4g,5.49g,530mg,204mg,100 gram (g)
Roti Putih,50.61g,7.64g,266 kkal,3.29g,1113 kj,0.717g,0mg,2.4g,4.31g,681mg,100mg,100 gram (g)
Roti Multigrain,46.4g,10g,251 kkal,3.8g,1050 kj,0.807g,0mg,6.4g,10.05g,487mg,204mg,100 gram (g)
Roti Gandum Hitam,48.3g,8.5g,259 kkal,3.3g,1084 kj,0.626g,0mg,5.8g,3.85g,660mg,166mg,100 gram (g)
Bagel Gandum,58.41g,10.41g,286 kkal,1.4g,1197 kj,0.214g,0mg,4.4g,1.81g,509mg,189mg,100 gram (g)
Bagel Panggang,57.11g,11.14g,288 kkal,1.72g,1205 kj,0.283g,0mg,2.6g,5.82g,480mg,85mg,100 gram (g)
Bagel Kismis Kayu Manis,55.2g,9.8g,273 kkal,1.7g,1142 kj,0.274g,0mg,2.3g,5.98g,322mg,148mg,100 gram (g)
Roti Kismis,52.3g,7.9g,274 kkal,4.4g,1146 kj,1.081g,0mg,4.3g,-,390mg,227mg,100 gram (g)
Roti Kismis Panggang,56.9g,8.6g,297 kkal,4.8g,1243 kj,1.175g,0mg,4.7g,6.18g,424mg,246mg,100 gram (g)
Roti Panggang Putih,54.4g,9g,293 kkal,4g,1226 kj,0.578g,1mg,2.5g,4.74g,592mg,131mg,100 gram (g)
Corn Flakes,86.7g,6.7g,360 kkal,0.1g,1506 kj,0g,0mg,4.5g,6.5g,949mg,117mg,100 gram (g)
Roti Pita,55.7g,9.1g,275 kkal,1.2g,1151 kj,0.166g,0mg,2.2g,1.3g,536mg,120mg,100 gram (g)
Roti Gandum Pita,55.8g,10.47g,273 kkal,1.43g,1142 kj,0.222g,0mg,5.3g,0.26g,418mg,214mg,100 gram (g)
Roti Panggang Pita,61.21g,10g,302 kkal,1.32g,1264 kj,0.182g,0mg,2.4g,1.43g,589mg,132mg,100 gram (g)
Roti Keju,48.14g,8.5g,273 kkal,4.78g,1142 kj,1.736g,5mg,2.3g,4.12g,678mg,100mg,100 gram (g)
Roti Isi Coklat,40.00g,5.00g,280 kkal,10.00g,1172 kj,6.000g,3mg,2.0g,13.00g,125mg,-,100 g
Roti Goreng,47.69g,7.18g,320 kkal,11.36g,1337 kj,2.867g,0mg,3.5g,0.2g,541mg,124mg,100 gram (g)
Roti Goreng,47.69g,7.18g,320 kkal,11.36g,1337 kj,2.867g,0mg,3.5g,0.2g,541mg,124mg,100 gram (g)
Roti Baguette,51.9g,8.8g,274 kkal,3g,1146 kj,0.641g,0mg,3g,0.24g,609mg,113mg,100 gram (g)
Cromboloni,44.87g,6.37g,375 kkal,18.99g,1571 kj,5.05g,67mg,1.2g,9.52g,270mg,87mg,100 gram (g)
Odading,48.15g,8.26g,321 kkal,10.36g,1343 kj,1.342g,93mg,1.6g,10.17g,542mg,99mg,100 gram (g)
Bika Ambon,53.34g,3.11g,264 kkal,4.44g,1103 kj,3.006g,64mg,1.2g,27.26g,92mg,62mg,100 gram (g)
Roti Sosis,32.28g,9.69g,324 kkal,17.05g,1357 kj,5.804g,23mg,1.1g,0.52g,851mg,132mg,100 gram (g)
Roti Kentang,50.61g,7.64g,266 kkal,3.29g,1113 kj,0.717g,0mg,2.4g,4.31g,681mg,100mg,100 gram (g)
Roti Canai,47.83g,6.64g,318 kkal,10.81g,1331 kj,2.735g,0mg,2.2g,0.18g,597mg,81mg,100 gram (g)
Roti Italia,50g,8.8g,271 kkal,3.5g,1134 kj,0.855g,0mg,2.7g,0.83g,584mg,110mg,100 gram (g)
Sereal Granola,52.95g,14.87g,490 kkal,24.36g,2050 kj,4.537g,0mg,8.6g,20.1g,22mg,537mg,100 gram (g)
Croissant,45.8g,8.2g,406 kkal,21g,1699 kj,11.659g,67mg,2.6g,11.26g,744mg,118mg,100 gram (g)
Biskuit Gandum,46.22g,9.67g,311 kkal,11.58g,1301 kj,2.662g,3mg,7.3g,2.59g,903mg,310mg,100 gram (g)
Lidah Kucing,52.6g,4.98g,456 kkal,24.93g,1909 kj,8.517g,31mg,1.4g,12.77g,402mg,82mg,100 gram (g)
Cookies,60.26g,5.71g,460 kkal,22.03g,1923 kj,13.707g,57mg,1.4g,19.9g,4mg,64mg,100 gram (g)
Kue Mentega atau Gula,65.6g,5.45g,475 kkal,21.6g,1987 kj,6.771g,56mg,0.9g,26.69g,417mg,104mg,100 gram (g)
Kue Sus,23.55g,6.55g,260 kkal,15.6g,1088 kj,3.899g,130mg,0.5g,8.04g,339mg,116mg,100 gram (g)
