Nama,Karbohidrat,Protein,kalori,Lemak,Energi,lemak jenuh,kolestrol,serat,gula,sodium,kalium,berat
Mochi Daifuku,49.8g,4.83g,230 kkal,1.13g,962 kj,0.227g,0mg,2.5g,7.34g,247mg,198mg,100 gram (g)
Martabak,40.6g,8.15g,315 kkal,14.65g,1319 kj,6.007g,72mg,2.2g,22.11g,244mg,199mg,100 gram (g)
Kolak,20.35g,2.01g,163 kkal,8.83g,682 kj,7.804g,0mg,2.8g,11.95g,51mg,219mg,100 gram (g)
Tape Singkong,39.9g,2.27g,175 kkal,0.5g,733 kj,0.133g,0mg,1.5g,0.85g,7mg,152mg,100 gram (g)
Kolak,20.35g,2.01g,163 kkal,8.83g,682 kj,7.804g,0mg,2.8g,11.95g,51mg,219mg,100 gram (g)
Piscok,37.27g,5.72g,298 kkal,14.29g,1247 kj,3.734g,38mg,2.2g,14.98g,193mg,240mg,100 gram (g)
Dadar Gulung,28.59g,4.7g,231 kkal,11.31g,968 kj,8.789g,74mg,1.9g,5.8g,67mg,160mg,100 gram (g)
Es Teler,25.88g,2.12g,177 kkal,8.18g,740 kj,6.277g,4mg,1.6g,18.74g,155mg,204mg,100 gram (g)
Es Buah,32.6g,0.4g,128 kkal,0g,536 kj,0g,0mg,0g,32.6g,22mg,3mg,100 gram (g)
Pancake Durian,27.91g,3.27g,200 kkal,8.71g,838 kj,4.501g,61mg,1g,7.93g,61mg,138mg,100 gram (g)
Churros,45.94g,2.79g,447 kkal,28.28g,1870 kj,7.719g,7mg,0.7g,25.19g,144mg,30mg,100 gram (g)
Bingka,39.32g,5.2g,272 kkal,10.68g,1139 kj,6.69g,92mg,0.7g,2.82g,80mg,119mg,100 gram (g)
Tape Ketan Hitam,34.78g,3g,164 kkal,1.05g,687 kj,0.107g,0mg,1.3g,2.64g,8mg,36mg,100 gram (g)
Red Velvet Cake,46.81g,6.81g,367 kkal,17.18g,1535 kj,5.076g,9.934g,54mg,1.4g,17.37g,311mg,100 gram (g)
Pais Pisang,28.71g,1.9g,155 kkal,4.22g,647 kj,3.522g,0mg,1.5g,7.96g,67mg,217mg,100 gram (g)
Brownies Pisang Coklat,38.48g,4.4g,287 kkal,14.07g,1200 kj,7.848g,41mg,3.5g,17.3g,63mg,295mg,100 gram (g)
Kue Bolu Coklat,54.68g,8.25g,297 kkal,6.05g,1243 kj,2.085g,208mg,1.6g,39.95g,185mg,154mg,100 gram (g)
Kue Selai Kacang,58.9g,9.6g,477 kkal,23.6g,1996 kj,4.485g,1mg,1.8g,31.83g,415mg,167mg,100 gram (g)
Creme Brulee,21.91g,3.38g,336 kkal,26.79g,1408 kj,15.823g,237mg,0g,19.87g,32mg,68mg,100 gram (g)
Panna Cotta,23.38g,1.08g,223 kkal,12.33g,934 kj,7.677g,45mg,0g,22.23g,38mg,37mg,100 gram (g)
Tart,41.55g,3.05g,278 kkal,11.35g,1162 kj,2.259g,0mg,1.4g,17.47g,215mg,78mg,100 gram (g)
Kue Keranjang,33.84g,2.83g,148 kkal,0.37g,617 kj,0.048g,0mg,1.1g,20.64g,104mg,105mg,100 gram (g)
Donat Isi Custard,30g,6.4g,361 kkal,24.5g,1510 kj,5.43g,24mg,0.8g,14.55g,309mg,80mg,100 gram (g)
Cendol,23.49g,1.87g,155 kkal,6.37g,648 kj,5.433g,0mg,1.2g,8.8g,5mg,106mg,100 gram (g)
Fruit Sando,31.17g,4.56g,204 kkal,6.99g,855 kj,3.646g,19mg,1.7g,6.24g,349mg,127mg,100 gram (g)
Putu Mayang,43.66g,2.49g,209 kkal,2.66g,873 kj,2.042g,0mg,1.1g,14.18g,59mg,88mg,100 gram (g)
Bolu Karamel,44.8g,4.57g,454 kkal,29.17g,1902 kj,10.117g,36mg,0.8g,22.9g,223mg,106mg,100 gram (g)
Biji Salak,24.04g,0.86g,133 kkal,4.13g,555 kj,3.65g,0mg,1.3g,10.4g,34mg,173mg,100 gram (g)
Ubi Jalar (Manis),20.12g,1.57g,86 kkal,0.05g,360 kj,0.018g,0mg,3g,4.18g,55mg,337mg,100 gram (g)
Bolu Tape,49.69g,5.01g,324 kkal,11.43g,1356 kj,6.683g,77mg,1.2g,18.16g,182mg,120mg,100 gram (g)
Permen Coklat Susu,59.4g,7.65g,535 kkal,29.66g,2238 kj,14.232g,23mg,3.4g,51.5g,79mg,372mg,100 gram (g)
Kue Gandum,68.7g,6.2g,450 kkal,18.1g,1883 kj,4.519g,0mg,2.8g,24.66g,383mg,142mg,100 gram (g)
Pai Ceri,39.8g,2g,260 kkal,11g,1088 kj,2.562g,0mg,0.8g,14.29g,246mg,81mg,100 gram (g)
Puding Coklat,23g,2.7g,139 kkal,4g,582 kj,0.71g,3mg,1g,17.85g,129mg,180mg,100 gram (g)
Wafer Coklat,72.4g,6.6g,433 kkal,14.2g,1812 kj,4.241g,2mg,3.4g,29.66g,580mg,210mg,100 gram (g)
Donat (Tawar),49.7g,5g,421 kkal,22.9g,1761 kj,3.625g,37mg,1.5g,22.5g,546mg,127mg,100 gram (g)
Es Krim Vanila,23.6g,3.5g,201 kkal,11g,841 kj,6.79g,44mg,0.7g,21.22g,80mg,199mg,100 gram (g)
Puding Vanila,22g,2.3g,130 kkal,3.6g,544 kj,1.512g,7mg,0g,20.2g,135mg,113mg,100 gram (g)
Roti Bagel,50.5g,10.02g,257 kkal,1.62g,1075 kj,0.393g,0mg,2.2g,5.05g,448mg,75mg,100 gram (g)
Permen Coklat Manis,59.6g,3.9g,505 kkal,34.2g,2113 kj,20.08g,0mg,5.5g,51.48g,16mg,290mg,100 gram (g)
Blueberry Muffin,48g,5.5g,277 kkal,6.5g,1159 kj,1.397g,30mg,2.6g,19.7g,447mg,123mg,100 gram (g)
Pancake Oat,31.41g,5.53g,208 kkal,6.81g,869 kj,1.538g,19mg,1.7g,9.04g,284mg,320mg,100 gram (g)
Cookies,60.26g,5.71g,460 kkal,22.03g,1923 kj,13.707g,57mg,1.4g,19.9g,4mg,64mg,100 gram (g)
Kue Denmark,44.6g,7g,403 kkal,22.4g,1686 kj,5.681g,21mg,1.3g,19.78g,371mg,125mg,100 gram (g)
Puding Roti,23.26g,5.27g,153 kkal,4.74g,640 kj,1.649g,62mg,0.9g,14.72g,236mg,216mg,100 gram (g)
Ayam,0g,27.07g,237 kkal,13.49g,992 kj,3.758g,87mg,0g,0g,404mg,221mg,100 gram (g)
Ayam (Kulit tidak Dimakan),0g,28.69g,188 kkal,7.35g,787 kj,2.023g,88mg,0g,0g,408mg,241mg,100 gram (g)
Dada Ayam,0g,29.55g,195 kkal,7.72g,816 kj,2.172g,83mg,0g,0g,393mg,243mg,100 gram (g)
Paha Ayam,0g,24.85g,245 kkal,15.36g,1025 kj,4.294g,92mg,0g,0g,406mg,220mg,100 gram (g)
Sayap Ayam,0g,26.64g,288 kkal,19.3g,1205 kj,5.405g,83mg,0g,0g,404mg,183mg,100 gram (g)
Daging Ayam (Panggang),0g,20.33g,111 kkal,2.7g,464 kj,0.67g,65mg,0g,0g,75mg,238mg,100 gram (g)
Daging dan Kulit Ayam (Panggang),0g,17.14g,216 kkal,15.85g,904 kj,4.53g,73mg,0g,0g,68mg,196mg,100 gram (g)
Daging Babi Panggang,0g,26.98g,247 kkal,14.59g,1033 kj,5.348g,82mg,0g,0g,221mg,406mg,100 gram (g)
Babi Panggang (Hanya Daging yang Dimakan),0g,28.45g,208 kkal,9.57g,870 kj,3.489g,81mg,0g,0g,289mg,423mg,100 gram (g)
Bahu Daging Babi Panggang,0g,23.18g,291 kkal,21.3g,1218 kj,7.827g,90mg,0g,0g,230mg,328mg,100 gram (g)
Bakso Daging Sapi,7.58g,12.41g,202 kkal,13.16g,845 kj,4.978g,74mg,0.5g,1.51g,478mg,213mg,100 gram (g)
Bakso Daging Sapi dan Babi,7.15g,13.61g,178 kkal,10.19g,746 kj,3.786g,72mg,0.4g,1.43g,452mg,242mg,100 gram (g)
Bakso Ayam,6.94g,19.39g,161 kkal,5.62g,672 kj,1.608g,82mg,0.5g,1.45g,442mg,199mg,100 gram (g)
Bakso Kalkun,6.94g,19.63g,149 kkal,4.16g,622 kj,1.368g,74mg,0.5g,1.45g,432mg,232mg,100 gram (g)
Bakso Daging Babi,4.76g,19.83g,166 kkal,6.98g,696 kj,2.02g,83mg,0.2g,0.51g,796mg,287mg,100 gram (g)
Daging Bebek,0g,18.28g,132 kkal,5.95g,552 kj,2.32g,77mg,0g,0g,74mg,271mg,100 gram (g)
Dada Ayam (Kulit tidak Dimakan),0g,30.76g,164 kkal,3.54g,686 kj,1.002g,84mg,0g,0g,396mg,254mg,100 gram (g)
Daging Dada Kalkun,4.21g,17.07g,104 kkal,1.66g,435 kj,0.48g,43mg,0.5g,3.51g,1015mg,302mg,100 gram (g)
Daging Dada dan Kulit Kalkun,0g,21.89g,157 kkal,7.02g,657 kj,1.91g,65mg,0g,-,59mg,275mg,100 gram (g)
Daging Babi,0g,27.34g,271 kkal,17.04g,1134 kj,6.168g,90mg,0g,0g,384mg,351mg,100 gram (g)
Daging Babi Giling,0g,16.88g,263 kkal,21.19g,1100 kj,7.87g,72mg,0g,-,56mg,287mg,100 gram (g)
Potongan Daging Babi,0g,27.91g,250 kkal,14.57g,1046 kj,5.402g,83mg,0g,0g,386mg,404mg,100 gram (g)
Daging Babi Panggang,0g,26.98g,247 kkal,14.59g,1033 kj,5.348g,82mg,0g,0g,221mg,406mg,100 gram (g)
Iga Babi,0g,28.94g,395 kkal,30.17g,1653 kj,11.073g,120mg,0g,0g,255mg,319mg,100 gram (g)
Potongan Daging Domba,0g,22.03g,314 kkal,24.37g,1314 kj,10.652g,95mg,0g,0g,390mg,255mg,100 gram (g)
Domba Giling,0g,16.56g,282 kkal,23.41g,1180 kj,10.19g,73mg,0g,0g,59mg,222mg,100 gram (g)
Daging Domba Panggang,0g,23.93g,266 kkal,18.15g,1113 kj,7.633g,92mg,0g,0g,228mg,281mg,100 gram (g)
Potongan Daging Domba (Daging dan Lemak Dimakan),0g,22.03g,314 kkal,24.37g,1314 kj,10.652g,95mg,0g,0g,390mg,255mg,100 gram (g)
Daging Sapi,0g,26.33g,288 kkal,19.54g,1205 kj,7.731g,87mg,0g,0g,384mg,315mg,100 gram (g)
Daging Sapi Giling,0g,25.35g,276 kkal,18.58g,1155 kj,7.192g,88mg,0g,0g,400mg,287mg,100 gram (g)
Daging Sapi Giling tanpa Lemak,0g,25.54g,269 kkal,17.67g,1125 kj,6.71g,90mg,0g,0g,397mg,302mg,100 gram (g)
Daging Sapi Panggang,0g,25.91g,267 kkal,17.32g,1117 kj,6.813g,76mg,0g,0g,217mg,292mg,100 gram (g)
Daging Kornet,0.47g,18.17g,251 kkal,18.98g,1050 kj,6.34g,98mg,0g,0g,1134mg,145mg,100 gram (g)
Daging Sapi Ekstra tanpa Lemak,0g,25.71g,248 kkal,15.35g,1038 kj,5.843g,89mg,0g,0g,394mg,315mg,100 gram (g)
Daging Sapi Panggang (Hanya Bagian tanpa Lemak yang Dimakan),0g,28.32g,198 kkal,8.52g,828 kj,3.228g,75mg,0g,0g,217mg,306mg,100 gram (g)
Iga Babi Panggang dengan Saus,4.2g,21.44g,310 kkal,22.33g,1297 kj,8.068g,87mg,0.4g,1.29g,334mg,287mg,100 gram (g)
Kalkun,0g,28.9g,187 kkal,7.02g,782 kj,1.999g,77mg,0g,0g,69mg,291mg,100 gram (g)
Paha Ayam Panggang,0g,24.85g,245 kkal,15.36g,1025 kj,4.294g,92mg,0g,0g,406mg,220mg,100 gram (g)
Paha Ayam Panggang (Kulit Dimakan),0g,24.85g,245 kkal,15.36g,1025 kj,4.294g,92mg,0g,0g,406mg,220mg,100 gram (g)
Punggung Sapi,0g,24.84g,342 kkal,26.15g,1431 kj,10.203g,93mg,0g,0g,225mg,242mg,100 gram (g)
Daging Punggung Sapi (Hanya Bagian tanpa Lemak yang Dimakan),0g,29.63g,230 kkal,11.53g,962 kj,4.133g,93mg,0g,0g,232mg,284mg,100 gram (g)
Kornet Daging Punggung Sapi (Diawetkan),0.14g,14.68g,198 kkal,14.9g,828 kj,4.73g,54mg,0g,-,1217mg,297mg,100 gram (g)
Sosis Daging Sapi,3.99g,11.04g,325 kkal,29.08g,1360 kj,11.516g,54mg,0g,2.54g,1126mg,161mg,100 gram (g)
Sosis Ayam,1.52g,17.82g,172 kkal,9.98g,718 kj,2.559g,3.6g,79mg,0g,0g,722mg,100 gram (g)
Sosis Babi Segar,0g,15.09g,304 kkal,26.53g,1272 kj,8.801g,11.894g,72mg,0g,0g,636mg,100 gram (g)
Sosis Kalkun,0.47g,18.79g,155 kkal,8.08g,649 kj,1.963g,2.624g,75mg,0g,0g,593mg,100 gram (g)
Sosis Italia,4.27g,19.12g,344 kkal,27.31g,1439 kj,9.535g,57mg,0.1g,0.86g,1207mg,304mg,100 gram (g)
Telur Bebek,1.45g,12.81g,185 kkal,13.77g,774 kj,3.681g,884mg,0g,0.93g,146mg,222mg,100 gram (g)
Sayap Ayam Panggang (Kulit Dimakan),0g,26.64g,288 kkal,19.3g,1205 kj,5.405g,83mg,0g,0g,404mg,183mg,100 gram (g)
Alpukat,8.53g,2g,160 kkal,14.66g,669 kj,2.126g,0mg,6.7g,0.66g,7mg,485mg,100 gram (g)
Guacamole dengan Tomat,7.64g,1.62g,116 kkal,9.94g,485 kj,1.446g,0mg,4.9g,1.37g,201mg,393mg,100 gram (g)
Guacamole,8.51g,1.96g,157 kkal,14.31g,657 kj,2.075g,0mg,6.6g,0.71g,148mg,476mg,100 gram (g)
Guacamole dengan Tomat dan Cabe Paprika,7.62g,1.62g,114 kkal,9.75g,477 kj,1.418g,0mg,4.9g,1.42g,197mg,392mg,100 gram (g)
Buah Anggur,18.1g,0.72g,69 kkal,0.16g,289 kj,0.054g,0mg,0.9g,15.48g,2mg,191mg,100 gram (g)
Anggur (Merah atau Hijau. Jenis Varietas Eropa Seperti Thompson tanpa Biji),18.1g,0.72g,69 kkal,0.16g,289 kj,0.054g,0mg,0.9g,15.48g,2mg,191mg,100 gram (g)
Anggur Jenis Amerika (Kulit Licin),17.15g,0.63g,67 kkal,0.35g,280 kj,0.114g,0mg,0.9g,16.25g,2mg,191mg,100 gram (g)
Anggur Jenis Eropa,18.1g,0.72g,69 kkal,0.16g,289 kj,0.054g,0mg,0.9g,15.48g,2mg,191mg,100 gram (g)
Apel,13.81g,0.26g,52 kkal,0.17g,218 kj,0.028g,0mg,2.4g,10.39g,1mg,107mg,100 gram (g)
Apel (tanpa Kulit),12.76g,0.27g,48 kkal,0.13g,201 kj,0.021g,0mg,1.3g,10.1g,0mg,90mg,100 gram (g)
Apel Emas Lezat,13.81g,0.26g,52 kkal,0.17g,220 kj,0.028g,0mg,2.4g,10.39g,1mg,107mg,100 gram (g)
Apel Fuji,13.81g,0.26g,52 kkal,0.17g,216 kj,0.028g,0mg,2.4g,10.39g,1mg,107mg,100 gram (g)
Blewah Melon,8.16g,0.84g,34 kkal,0.19g,142 kj,0.051g,0mg,0.9g,7.86g,16mg,267mg,100 gram (g)
Blueberi,14.49g,0.74g,57 kkal,0.33g,238 kj,0.028g,0mg,2.4g,9.96g,1mg,77mg,100 gram (g)
Blueberry Tawar dalam Kemasan Air (Dimasak atau Kalengan),9.71g,0.5g,38 kkal,0.22g,159 kj,0.019g,0mg,1.6g,6.67g,1mg,46mg,100 gram (g)
Beri,7.98g,0.68g,33 kkal,0.3g,138 kj,0.016g,0mg,2.1g,4.87g,1mg,150mg,100 gram (g)
Stroberi,7.68g,0.67g,32 kkal,0.3g,134 kj,0.015g,0mg,2g,4.66g,1mg,153mg,100 gram (g)
Blueberi,14.49g,0.74g,57 kkal,0.33g,238 kj,0.028g,0mg,2.4g,9.96g,1mg,77mg,100 gram (g)
Rasberi,11.94g,1.2g,52 kkal,0.65g,218 kj,0.019g,0mg,6.5g,4.42g,1mg,151mg,100 gram (g)
Blackberry,9.61g,1.39g,43 kkal,0.49g,180 kj,0.014g,0mg,5.3g,4.88g,1mg,162mg,100 gram (g)
Campuran Buah Kering,64.81g,2.19g,244 kkal,0.44g,1021 kj,0.06g,0mg,7.4g,47.66g,17mg,746mg,100 gram (g)
Apel Kering,65.89g,0.93g,243 kkal,0.32g,1017 kj,0.052g,0mg,8.7g,57.19g,87mg,450mg,100 gram (g)
Cranberry Kering,82.36g,0.07g,308 kkal,1.37g,1289 kj,0.103g,0mg,5.7g,65g,3mg,40mg,100 gram (g)
Prune Kering,63.88g,2.18g,240 kkal,0.38g,1004 kj,0.088g,0mg,7.1g,38.13g,2mg,732mg,100 gram (g)
Aprikot Kering,62.64g,3.39g,241 kkal,0.51g,1008 kj,0.017g,0mg,7.3g,53.44g,10mg,1162mg,100 gram (g)
Buah Pir,15.46g,0.38g,58 kkal,0.12g,243 kj,0.006g,0mg,3.1g,9.8g,1mg,119mg,100 gram (g)
Pir (Dimasak atau Kalengan),19.17g,0.2g,74 kkal,0.13g,310 kj,0.007g,0mg,1.6g,15.2g,5mg,65mg,100 gram (g)
Pir Asia,10.65g,0.5g,42 kkal,0.23g,176 kj,0.012g,0mg,3.6g,7.05g,0mg,121mg,100 gram (g)
Pir (Padat dan Cair. Kemasan Sirup Ringan. Kalengan),15.17g,0.19g,57 kkal,0.03g,238 kj,0.002g,0mg,1.6g,12.1g,5mg,66mg,100 gram (g)
Ceri Manis,16.01g,1.06g,63 kkal,0.2g,264 kj,0.038g,0mg,2.1g,12.82g,0mg,222mg,100 gram (g)
Bing Ceri,16.01g,1.06g,63 kkal,0.2g,264 kj,0.038g,0mg,2.1g,12.82g,0mg,222mg,100 gram (g)
Ceri Beku,11.02g,0.92g,46 kkal,0.44g,192 kj,0.1g,0mg,1.6g,9.02g,1mg,124mg,100 gram (g)
Ceri Merah Asam,12.18g,1g,50 kkal,0.3g,209 kj,0.068g,0mg,1.6g,8.49g,3mg,173mg,100 gram (g)
Jeruk,11.75g,0.94g,47 kkal,0.12g,197 kj,0.015g,0mg,2.4g,9.35g,0mg,181mg,100 gram (g)
Jeruk Keprok (Jeruk Mandarin),13.34g,0.81g,53 kkal,0.31g,222 kj,0.039g,0mg,1.8g,10.58g,2mg,166mg,100 gram (g)
Jeruk Bali,8.08g,0.63g,32 kkal,0.1g,134 kj,0.014g,0mg,1.1g,6.98g,0mg,139mg,100 gram (g)
Jeruk Bali (Merah dan Merah Muda),10.66g,0.77g,42 kkal,0.14g,176 kj,0.02g,0mg,1.6g,6.89g,0mg,135mg,100 gram (g)
Jeruk Keprok (Jeruk Mandarin),13.34g,0.81g,53 kkal,0.31g,222 kj,0.039g,0mg,1.8g,10.58g,2mg,166mg,100 gram (g)
Jeruk Mandarin (Kaleng atau Beku),16.19g,0.45g,61 kkal,0.1g,255 kj,0.012g,0mg,0.7g,15.49g,6mg,78mg,100 gram (g)
Jeruk Keprok (Jeruk Mandarin. Jus Kemasan. Kalengan),9.57g,0.62g,37 kkal,0.03g,155 kj,0.003g,0mg,0.7g,8.87g,5mg,133mg,100 gram (g)
Jeruk Keprok (Jeruk Mandarin. Sirup Ringan Kemasan. Kalengan),16.19g,0.45g,61 kkal,0.1g,255 kj,0.012g,0mg,0.7g,15.49g,6mg,78mg,100 gram (g)
Kelapa,15.23g,3.33g,354 kkal,33.49g,1481 kj,29.698g,0mg,9g,6.23g,20mg,356mg,100 gram (g)
Air Kelapa,3.71g,0.72g,19 kkal,0.2g,79 kj,0.176g,0mg,1.1g,2.61g,105mg,250mg,100 gram (g)
Kismis,79.18g,3.07g,299 kkal,0.46g,1251 kj,0.058g,0mg,3.7g,59.19g,11mg,749mg,100 gram (g)
Kismis (tanpa Biji),79.18g,3.07g,299 kkal,0.46g,1251 kj,0.058g,0mg,3.7g,59.19g,11mg,749mg,100 gram (g)
Kismis Dilapisi Coklat,68.3g,4.1g,390 kkal,14.8g,1632 kj,8.8g,3mg,4.2g,62.22g,36mg,514mg,100 gram (g)
Kismis Dilapisi Coklat Susu,68.3g,4.1g,390 kkal,14.8g,1632 kj,8.8g,3mg,4.2g,62.22g,36mg,514mg,100 gram (g)
Kurma,75.03g,2.45g,282 kkal,0.39g,1180 kj,0.032g,0mg,8g,63.35g,2mg,656mg,100 gram (g)
Mangga,17g,0.51g,65 kkal,0.27g,272 kj,0.066g,0mg,1.8g,14.8g,2mg,156mg,100 gram (g)
Mangga Kering,81.61g,1.48g,314 kkal,0.78g,1314 kj,0.192g,0mg,5.2g,75.2g,6mg,454mg,100 gram (g)
Nektar Mangga,15.16g,0.2g,58 kkal,0.11g,243 kj,0.026g,0mg,0.7g,14.27g,2mg,56mg,100 gram (g)
Blewah Melon,8.16g,0.84g,34 kkal,0.19g,142 kj,0.051g,0mg,0.9g,7.86g,16mg,267mg,100 gram (g)
Nanas,12.63g,0.54g,48 kkal,0.12g,201 kj,0.009g,0mg,1.4g,9.26g,1mg,115mg,100 gram (g)
Nanas (Padat dan Cair. Air Kemasan. Kalengan),8.3g,0.43g,32 kkal,0.09g,134 kj,0.006g,0mg,0.8g,7.5g,1mg,127mg,100 gram (g)
Nanas Potongan (Manis. Beku),22.2g,0.4g,86 kkal,0.1g,360 kj,0.007g,0mg,1.1g,21.1g,2mg,100mg,100 gram (g)
Nanas (Padat dan Cair. Kemasan Sirup Ringan. Kalengan),13.45g,0.36g,52 kkal,0.12g,218 kj,0.009g,0mg,0.8g,12.65g,1mg,105mg,100 gram (g)
Nanas (Padat dan Cair. Jus Kemasan. Kalengan),15.7g,0.42g,60 kkal,0.08g,251 kj,0.006g,0mg,0.8g,14.45g,1mg,122mg,100 gram (g)
Pepaya,9.81g,0.61g,39 kkal,0.14g,163 kj,0.043g,0mg,1.8g,5.9g,3mg,257mg,100 gram (g)
Jus Pepaya,14.51g,0.17g,57 kkal,0.15g,238 kj,0.047g,0mg,0.6g,13.91g,5mg,31mg,100 gram (g)
Pisang,22.84g,1.09g,89 kkal,0.33g,372 kj,0.112g,0mg,2.6g,12.23g,1mg,358mg,100 gram (g)
Pisang Apel,22.84g,1.09g,89 kkal,0.33g,372 kj,0.112g,0mg,2.6g,12.23g,1mg,358mg,100 gram (g)
Rasberi,11.94g,1.2g,52 kkal,0.65g,218 kj,0.019g,0mg,6.5g,4.42g,1mg,151mg,100 gram (g)
Rasberi Merah,11.94g,1.2g,52 kkal,0.65g,218 kj,0.019g,0mg,6.5g,4.42g,1mg,151mg,100 gram (g)
Rasberi Beku tanpa Pemanis,11.94g,1.2g,52 kkal,0.65g,218 kj,0.019g,0mg,6.5g,4.42g,1mg,136mg,100 gram (g)
Rasberi Beku,26.16g,0.7g,103 kkal,0.16g,431 kj,0.005g,0mg,4.4g,21.76g,1mg,114mg,100 gram (g)
Salad Buah,13.16g,0.67g,57 kkal,0.86g,237 kj,0.647g,0mg,1.8g,10.77g,6mg,141mg,100 gram (g)
Jus Semangka,7.55g,0.61g,30 kkal,0.15g,126 kj,0.016g,0mg,0.4g,6.2g,1mg,112mg,100 gram (g)
Semangka,7.55g,0.61g,30 kkal,0.15g,126 kj,0.016g,0mg,0.4g,6.2g,1mg,112mg,100 gram (g)
Stroberi,7.68g,0.67g,32 kkal,0.3g,134 kj,0.015g,0mg,2g,4.66g,1mg,153mg,100 gram (g)
Stroberi Beku tanpa Pemanis,9.13g,0.43g,35 kkal,0.11g,146 kj,0.006g,0mg,2.1g,4.56g,2mg,148mg,100 gram (g)
Stroberi Beku,23.46g,0.52g,87 kkal,0.14g,364 kj,0.007g,0mg,1.9g,21.49g,2mg,98mg,100 gram (g)
Stroberi Beku dengan Gula,23.46g,0.52g,87 kkal,0.14g,364 kj,0.007g,0mg,1.9g,21.49g,2mg,98mg,100 gram (g)
Makaroni,30.68g,5.76g,157 kkal,0.92g,657 kj,0.175g,0mg,1.8g,0.56g,232mg,45mg,100 gram (g)
Makaroni Gandum,26.38g,5.3g,123 kkal,0.54g,515 kj,0.098g,0mg,2.8g,0.8g,234mg,44mg,100 gram (g)
